,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
328,5201227,"Barcelona, Spain",91%,2.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Hot water"", ""High chair"", ""Body soap"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Dryer"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Pets allowed"", ""Coffee maker"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",4.8
329,5385759,"Barcelona, Spain",100%,1.0,"[""Clothing storage: closet"", ""Shower gel"", ""Portable fans"", ""Freezer"", ""32 inch HDTV with Fire TV"", ""Bosch electric stove"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Lockbox"", ""Bed linens"", ""Children\u2019s books and toys"", ""Dining table"", ""Refrigerator"", ""Essentials"", ""Toaster"", ""Heating"", ""Hangers"", ""Body soap"", ""Dishwasher"", ""First aid kit"", ""Microwave"", ""Oven"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Extra pillows and blankets"", ""Wine glasses"", ""Fast wifi \u2013 56 Mbps"", ""Coffee maker: Nespresso"", ""AC - split type ductless system"", ""Hair dryer"", ""Crib"", ""Baking sheet"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid parking garage off premises"", ""Ethernet connection"", ""High chair"", ""Private patio or balcony"", ""Board games"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Books and reading material"", ""Babysitter recommendations"", ""Kitchen"", ""Hot water kettle"", ""Smoke alarm""]",4.73
330,491007,"Barcelona, Spain",91%,2.0,"[""Bed linens"", ""Oven"", ""Wifi"", ""Washer"", ""Microwave"", ""Hair dryer"", ""Long term stays allowed"", ""Toaster"", ""Bathtub"", ""Dryer"", ""Hot water kettle"", ""Elevator"", ""Host greets you"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Dishwasher""]",4.11
331,4311845,"Barcelona, Spain",99%,1.0,"[""Bed linens"", ""Smoking allowed"", ""Oven"", ""Dishwasher"", ""Baby bath"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Changing table"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.79
332,4313721,,93%,1.0,"[""Lockbox"", ""Clothing storage: wardrobe and dresser"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Coffee maker: espresso machine, Nespresso"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Books and reading material"", ""Body soap"", ""Extra pillows and blankets"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Toaster"", ""Crib"", ""Dishes and silverware"", ""Dining table"", ""TV"", ""Self check-in"", ""Ceiling fan"", ""City skyline view"", ""Central heating"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.39
333,2036118,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Oven"", ""Babysitter recommendations"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""Paid parking on premises"", ""Cooking basics"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Toaster"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Fast wifi \u2013 100 Mbps"", ""Iron"", ""Pets allowed"", ""Ethernet connection"", ""Cleaning products"", ""Coffee maker"", ""Clothing storage: closet"", ""Paid parking off premises"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Air conditioning""]",4.64
334,4236308,"Barcelona, Spain",96%,1.0,"[""Courtyard view"", ""Outlet covers"", ""Dishwasher"", ""Sony sound system with aux"", ""Hangers"", ""Housekeeping available 3 hours a day, 2 days a week - available at extra cost"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Ikea stainless steel oven"", ""Drying rack for clothing"", ""Blanca conditioner"", ""Smoking allowed"", ""Park view"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Host greets you"", ""Blanca body soap"", ""Outdoor furniture"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Window AC unit"", ""Heating - split type ductless system"", ""Iron"", ""Shower gel"", ""Bed linens"", ""53 inch HDTV with standard cable"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Paid parking garage off premises"", ""Blanca shampoo"", ""Crib"", ""Toaster"", ""Children\u2019s dinnerware"", ""Dining table"", ""Ceiling fan"", ""City skyline view"", ""Central heating"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Beach essentials"", ""Portable fans"", ""Hair dryer"", ""Smoke alarm"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Freezer"", ""Wifi""]",4.67
335,3912625,"Cabrils, Spain",100%,1.0,"[""Bed linens"", ""Central heating"", ""Mini fridge"", ""Coffee maker: drip coffee maker, Nespresso"", ""40 inch HDTV with standard cable"", ""Hot water"", ""Room-darkening shades"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Dryer"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Private patio or balcony"", ""Cleaning products"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",4.85
336,4358678,"Castelldefels, Spain",,2.0,"[""Hair dryer"", ""TV with standard cable"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Dryer"", ""Heating"", ""Washer"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Elevator"", ""Air conditioning"", ""Essentials"", ""Iron"", ""Bed linens"", ""Shampoo""]",4.86
337,113082592,"Barcelona, Spain",,1.0,"[""Bed linens"", ""AC - split type ductless system"", ""Private entrance"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Electric stove"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Portable heater"", ""Dining table"", ""Host greets you"", ""Iron"", ""Private patio or balcony"", ""Coffee maker"", ""Single level home"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Essentials""]",4.36
338,4507138,"Barcelona, Spain",98%,1.0,"[""Host greets you"", ""Clothing storage: closet"", ""Shower gel"", ""Paid parking off premises"", ""Freezer"", ""Bed linens"", ""Conditioner"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Toaster"", ""Heating"", ""Hangers"", ""Body soap"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Shampoo"", ""Extra pillows and blankets"", ""Wine glasses"", ""Hair dryer"", ""Stove"", ""Crib"", ""Laundromat nearby"", ""Dishes and silverware"", ""Air conditioning"", ""Drying rack for clothing"", ""TV"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Hot water kettle"", ""Microwave""]",4.45
339,3962572,"Premià de Dalt, Spain",88%,2.0,"[""Dishwasher"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Coffee maker"", ""Backyard"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""High chair"", ""Essentials"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.53
340,3744544,"Barcelona, Spain",98%,1.0,"[""Host greets you"", ""Clothing storage: closet"", ""Shower gel"", ""Paid parking off premises"", ""Long term stays allowed"", ""Park view"", ""Portable fans"", ""Freezer"", ""Paid crib - available upon request"", ""Ocean view"", ""Single level home"", ""Bed linens"", ""Garden view"", ""Cleaning products"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Mountain view"", ""Toaster"", ""Heating"", ""City skyline view"", ""Induction stove"", ""Outdoor furniture"", ""Hangers"", ""Body soap"", ""Waterfront"", ""50 inch HDTV with Amazon Prime Video, HBO Max, Netflix, standard cable"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Harbor view"", ""Iron"", ""Wifi"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Wine glasses"", ""Backyard"", ""Paid high chair - available upon request"", ""AC - split type ductless system"", ""Hair dryer"", ""Laundromat nearby"", ""Dishes and silverware"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Kitchen"", ""Hot water kettle"", ""Microwave"", ""Outdoor dining area""]",4.36
341,5414485,"Barcelona, Spain",100%,2.0,"[""Dishwasher"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Exterior security cameras on property"", ""Coffee maker"", ""Dryer"", ""Heating"", ""Paid parking off premises"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Oven"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.66
342,5414684,"Barcelona, Spain",89%,1.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Private entrance"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Toaster"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Pack \u2019n play/Travel crib - available upon request"", ""Iron"", ""Private patio or balcony"", ""Coffee maker"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Air conditioning""]",4.57
343,121825,"Barcelona, Spain",99%,1.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Toaster"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",4.49
344,121825,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Toaster"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",4.46
345,5428204,"Barcelona, Spain",100%,1.0,"[""Host greets you"", ""Clothing storage: closet"", ""Shower gel"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Conditioner"", ""Refrigerator"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Heating"", ""Hangers"", ""Body soap"", ""First aid kit"", ""Microwave"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Dedicated workspace"", ""Shampoo"", ""Extra pillows and blankets"", ""Backyard"", ""Hair dryer"", ""Crib"", ""Free parking on premises"", ""Dishes and silverware"", ""Air conditioning"", ""Private patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Drying rack for clothing"", ""Room-darkening shades"", ""TV"", ""Kitchen"", ""Smoke alarm""]",4.82
346,5501549,"Barcelona, Spain",,,"[""Dishwasher"", ""Hangers"", ""Refrigerator"", ""Exterior security cameras on property"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Ethernet connection"", ""Heating"", ""Paid parking on premises"", ""Oven"", ""Toaster"", ""Self check-in"", ""Essentials"", ""Microwave"", ""Lock on bedroom door"", ""Hair dryer"", ""Smart lock"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",4.6
347,4269183,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Ceiling fan"", ""Sun loungers"", ""Self check-in"", ""Hot water"", ""Room-darkening shades"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Stove"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dryer"", ""Hot water kettle"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.73
348,4258344,"Barcelona, Spain",95%,1.0,"[""Exterior security cameras on property"", ""Long term stays allowed"", ""Noise decibel monitors on property"", ""Portable fans"", ""Freezer"", ""Housekeeping available every day - available at extra cost"", ""Carbon monoxide alarm"", ""Single level home"", ""Bed linens"", ""Cleaning products"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Teka stainless steel gas stove"", ""Essentials"", ""Sea view"", ""Toaster"", ""City skyline view"", ""Outdoor furniture"", ""Hangers"", ""Fast wifi \u2013 558 Mbps"", ""First aid kit"", ""Microwave"", ""HDTV"", ""Oven"", ""Hot water"", ""Baby bath"", ""Bidet"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Central heating"", ""Coffee maker: Nespresso"", ""AC - split type ductless system"", ""Hair dryer"", ""Clothing storage: closet and dresser"", ""Crib"", ""Laundromat nearby"", ""Dishes and silverware"", ""Sound system with aux"", ""High chair"", ""Paid parking garage off premises"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Hot water kettle"", ""Smart lock"", ""Smoke alarm"", ""Outdoor dining area""]",4.55
349,631951,"Barcelona, Spain",88%,1.5,"[""Hangers"", ""Dedicated workspace"", ""Elevator"", ""Coffee maker"", ""Drying rack for clothing"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Host greets you"", ""Hot water kettle"", ""Outdoor furniture"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Cleaning products"", ""Oven"", ""Toaster"", ""Dishes and silverware"", ""Dining table"", ""Washer"", ""TV"", ""Ceiling fan"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Hair dryer"", ""Bidet"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.54
350,4419532,"Barcelona, Spain",66%,2.0,"[""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Kitchen"", ""Paid parking on premises"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""High chair"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Hot water"", ""Single level home"", ""Cooking basics"", ""Wifi""]",4.7
351,1432835,"Barcelona, Spain",90%,2.0,"[""Bed linens"", ""AC - split type ductless system"", ""Stainless steel oven"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Courtyard view"", ""Shampoo"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Induction stove"", ""Pack \u2019n play/Travel crib"", ""City skyline view"", ""42 inch HDTV"", ""Elevator"", ""Host greets you"", ""Iron"", ""Pets allowed"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.35
352,1432736,"Barcelona, Spain",,,"[""Wifi"", ""Washer"", ""Dryer"", ""Kitchen"", ""Shampoo"", ""Fire extinguisher"", ""Elevator"", ""TV"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",
353,3039107,"Barcelona, Spain",62%,2.5,"[""Dishwasher"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Free street parking"", ""Elevator"", ""Long term stays allowed"", ""Coffee maker"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Window AC unit"", ""Paid parking on premises"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""High chair"", ""City skyline view"", ""36 inch TV with standard cable"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Brastemp stainless steel electric stove"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Children\u2019s books and toys""]",4.57
354,4536186,"Sabadell, Spain",,1.0,"[""Bed linens"", ""Smoking allowed"", ""Oven"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""Body soap"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Clothing storage"", ""Hair dryer"", ""Bidet"", ""Kitchen"", ""Stove"", ""Toaster"", ""Bathtub"", ""Dining table"", ""Wine glasses"", ""Dedicated workspace"", ""Host greets you"", ""Free street parking"", ""Pets allowed"", ""Cleaning products"", ""Coffee maker"", ""Patio or balcony"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.64
355,5511646,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Ceiling fan"", ""Smoking allowed"", ""Stainless steel oven"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Bidet"", ""Kitchen"", ""Induction stove"", ""Toaster"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Portable fans"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Pets allowed"", ""Coffee maker"", ""Patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.55
356,2379410,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Oven"", ""Conditioner"", ""Coffee"", ""Mosquito net"", ""Hot water"", ""Room-darkening shades"", ""Paid street parking off premises"", ""Body soap"", ""Central air conditioning"", ""Crib - available upon request"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Induction stove"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Shared beach access \u2013 Beachfront"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Folding or convertible high chair - available upon request"", ""Coffee maker"", ""Shower gel"", ""Radiant heating"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""TV"", ""Freezer"", ""Trash compactor"", ""Essentials"", ""Dishwasher""]",4.39
357,5449946,"Badalona, Spain",100%,1.0,"[""Paid parking off premises"", ""Long term stays allowed"", ""Bed linens"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Heating"", ""Hangers"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Washer"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Crib"", ""Dishes and silverware"", ""Air conditioning"", ""TV"", ""Smart lock"", ""Kitchen"", ""Microwave""]",4.49
